Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Algeria,DZA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,30.3157122,37.3724856,34.5850843,38.1033202,38.0264522,37.0497518,36.7240995,37.2559537,37.761123,39.6206596,37.2941554,38.5167643,40.6276868,45.2110876,44.4268928,43.0877306,41.1681878,45.716986,45.1981709,46.1037431,42.3162152,46.1462983,44.4269433,46.4563079
Algeria,DZA,Rule of Law - Governance score (0-100),GOV_WGI_RL.SC,35.7892668,46.0446723,46.0472143,46.1178298,44.1696849,43.6743936,44.3086872,43.9828748,43.2082159,43.7110076,42.6235821,42.8471043,44.6601039,42.5745539,41.863492,42.1532807,42.0323238,42.2739483,42.4090971,43.6316749,43.9649172,43.223943,44.3500497,44.9726847
Algeria,DZA,Control of Corruption - Governance score (0-100),GOV_WGI_CC.SC,26.7146417,27.7325601,31.3314381,30.87151,35.2740802,38.8745553,38.1520884,36.0749082,35.4030775,39.9230526,39.5664616,38.6703708,39.6407864,35.2635769,35.1036202,34.87432,36.9149217,36.9544858,35.2940242,34.9886078,34.6776856,34.8379642,34.9054029,35.843598
Algeria,DZA,Voice and Accountability - Governance score (0-100),GOV_WGI_VA.SC,35.4940693,39.8938835,38.3337693,43.30096,44.5179868,44.4848546,43.881066,43.2131185,41.8290672,41.3500065,41.3027988,42.1699894,42.3840553,44.1619792,44.1474398,43.2596418,43.0234808,41.1830888,38.3703951,38.1726659,38.5948417,38.0535965,38.4825878,38.4995232
Algeria,DZA,Voice and Accountability - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_VA.SC_UB,40.8304574,44.6584828,43.0529357,47.2830002,48.4681113,48.4346535,47.7213798,47.0483234,45.6642721,45.6470479,45.5837571,46.4509477,46.8458703,48.6237942,48.6092549,47.7214568,47.4933469,45.9744599,43.1617662,42.9866188,42.8190867,42.2778415,42.7393226,42.756258
Algeria,DZA,Voice and Accountability - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_VA.SC_LB,30.1576811,35.1292841,33.614603,39.3189197,40.5678623,40.5350556,40.0407521,39.3779136,37.9938623,37.0529652,37.0218405,37.8890311,37.9222403,39.7001642,39.6856248,38.7978268,38.5536146,36.3917177,33.5790239,33.3587131,34.3705968,33.8293515,34.2258529,34.2427883
Algeria,DZA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.0443964,-0.9941078,-0.8163111,-0.8390331,-0.6215313,-0.4436557,-0.479348,-0.5819677,-0.6151584,-0.3918564,-0.4094732,-0.453743099999999,-0.4058013,-0.6220502,-0.6299526,-0.6412808,-0.5404682,-0.538513599999999,-0.620545999999999,-0.635634599999999,-0.6509952,-0.6430769,-0.6397452,-0.5933952
Algeria,DZA,Control of Corruption - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_CC.SC_LB,19.0239354,20.0418538,24.1203125,24.6265047,29.0290749,32.62955,31.9624741,29.9289164,29.2570857,33.4919183,33.2676118,32.3916148,33.3757704,28.9985608,28.8386041,28.609304,30.6036801,30.6432442,28.9827825,28.5225528,28.9650692,29.1253477,29.1927864,30.1309816
Algeria,DZA,Control of Corruption - Standard error of the governance estimate,GOV_WGI_CC.SE,0.2316749,0.2316749,0.217228,0.1881246,0.1881246,0.1881246,0.186456,0.1851419,0.1851419,0.1937315,0.1897466,0.1891413,0.1887274,0.1887274,0.1887274,0.1887274,0.1901199,0.1901199,0.1901199,0.1947835,0.1720869,0.1720869,0.1720869,0.1720869
Algeria,DZA,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.0812973,-0.718369599999999,-0.8617248,-0.680782999999999,-0.6847363,-0.7349677,-0.7517159,-0.7243628,-0.6983821,-0.6027467,-0.722398099999999,-0.659519699999999,-0.5509556,-0.3152327,-0.3555636,-0.4244363,-0.5231578,-0.2892145,-0.315897,-0.2693237,-0.4641151,-0.2671351,-0.355560999999999,-0.2511914
